cycle_count,consistent_duration,low_time_variation,rapid_transactions,wallet,num_bought,num_sold,unique_nfts_bought,unique_nfts_sold,hold_time,first_activity,last_activity,activity_period,average_daily_transaction
72373,False,1.0,0.0149088748566454,w_103861,849,804.0,87,87.0,0 days 03:30:51.857142857,2023-06-08 13:20:07,2023-12-05 14:28:45,180 days 01:08:38,9.132596685082872
71651,False,1.0,0.013761147785795,w_103860,792,865.0,84,171.0,0 days 08:02:38.193724420,2023-07-20 12:33:04,2023-12-05 14:28:45,138 days 01:55:41,11.920863309352518
62633,False,1.0,0.0032570689572589,w_2565146,380,333.0,1,1.0,0 days 01:54:52.408408408,2022-05-19 05:52:17,2022-05-20 08:10:05,1 days 02:17:48,356.5
58029,False,1.0,0.0055317169001706,w_2403871,508,496.0,2,2.0,0 days 01:17:35.708609271,2022-06-15 22:36:11,2022-06-17 05:14:20,1 days 06:38:09,502.0
34180,False,1.0,0.0048858981860737,w_2403869,246,260.0,1,1.0,0 days 00:01:34.666666666,2022-06-16 07:44:03,2022-06-17 05:14:20,0 days 21:30:17,506.0
32345,False,1.0,0.0035863348276395,w_1109656,450,5156.0,37,140.0,0 days 08:13:20.796791443,2021-10-04 02:03:39,2023-03-23 06:34:35,535 days 04:30:56,10.458955223880595
32219,False,1.0,0.0044694124584872,w_2403876,250,248.0,1,1.0,0 days 02:14:29.437500,2022-06-15 22:36:11,2022-06-17 05:13:30,1 days 06:37:19,249.0
24806,False,1.0,0.0050391034427154,w_2472561,219,194.0,1,1.0,0 days 00:02:45.466666666,2022-05-29 00:31:21,2022-05-29 11:09:32,0 days 10:38:11,413.0
23305,False,1.0,0.0065222055352928,w_5597,1234,1810.0,777,1027.0,0 days 16:26:03.972413793,2023-08-31 15:57:46,2023-12-22 13:21:11,112 days 21:23:25,26.938053097345133
23257,False,1.0,0.0081265855441372,w_3985,471,635.0,109,173.0,0 days 00:02:36.880000,2023-11-09 14:20:54,2023-12-22 13:53:30,42 days 23:32:36,25.72093023255814
22965,False,1.0,0.0086653603309383,w_114966,564,459.0,109,109.0,0 days 00:55:10.354260089,2023-11-12 06:19:36,2023-12-03 05:43:56,20 days 23:24:20,48.71428571428572
22798,False,1.0,0.0057022545837354,w_2500521,216,216.0,1,1.0,0 days 00:03:37.232558139,2022-05-25 23:41:06,2022-05-26 05:04:07,0 days 05:23:01,432.0
22016,False,1.0,0.0032703488372093,w_170256,392,383.0,87,79.0,0 days 01:39:19.110769230,2023-11-15 07:34:12,2023-11-29 21:04:30,14 days 13:30:18,51.66666666666666
21383,False,1.0,0.0054716363466305,w_2488061,200,209.0,1,1.0,0 days 00:01:00.227272727,2022-05-26 15:20:42,2022-05-27 03:08:27,0 days 11:47:45,409.0
20408,False,1.0,0.0061740493923951,w_2488052,209,200.0,1,1.0,0 days 00:18:12.892045454,2022-05-26 15:20:42,2022-05-27 03:08:27,0 days 11:47:45,409.0
19949,False,1.0,0.0043611208581883,w_2706485,190,182.0,1,1.0,0 days 00:10:36,2022-05-01 11:13:10,2022-05-01 21:41:01,0 days 10:27:51,372.0
18237,False,1.0,5.483358008444371e-05,w_2714861,181,194.0,1,1.0,0 days 00:04:29.941176470,2022-04-29 21:24:02,2022-04-30 14:24:44,0 days 17:00:42,375.0
18188,False,1.0,0.0039036727512645,w_2435021,233,221.0,1,1.0,0 days 00:58:59.551724137,2022-06-07 07:29:34,2022-06-08 16:03:41,1 days 08:34:07,227.0
17675,False,1.0,0.0079773691654879,w_2472456,194,219.0,1,1.0,0 days 00:12:39.152439024,2022-05-29 00:31:21,2022-05-29 11:09:32,0 days 10:38:11,413.0
16872,False,1.0,0.0097202465623518,w_2714806,194,181.0,1,1.0,0 days 01:19:01.870748299,2022-04-29 21:24:02,2022-04-30 14:24:44,0 days 17:00:42,375.0
16412,False,1.0,0.0061540336339263,w_2644538,180,182.0,1,1.0,0 days 00:44:58.285714285,2022-05-08 21:35:34,2022-05-09 23:29:38,1 days 01:54:04,181.0
15971,False,1.0,0.0063865756683989,w_2641697,182,215.0,1,1.0,0 days 00:12:24.500000,2022-05-08 21:35:34,2022-05-10 10:47:58,1 days 13:12:24,198.5
15308,False,1.0,0.0050953749673373,w_2435032,211,168.0,1,1.0,0 days 05:48:44.940476190,2022-06-07 11:47:14,2022-06-08 16:03:41,1 days 04:16:27,189.5
15101,False,1.0,0.0070856234686444,w_2526352,178,169.0,1,1.0,0 days 00:21:03.012738853,2022-05-23 15:58:51,2022-05-24 08:09:22,0 days 16:10:31,347.0
14975,False,1.0,0.0077462437395659,w_2526357,169,178.0,1,1.0,0 days 00:02:02.333333333,2022-05-23 15:58:51,2022-05-24 08:09:22,0 days 16:10:31,347.0
14628,False,1.0,0.0062209461307082,w_2706316,182,190.0,1,1.0,0 days 00:35:37.331491712,2022-05-01 11:13:10,2022-05-01 21:41:01,0 days 10:27:51,372.0
14186,False,1.0,0.0059918229240095,w_2706008,179,163.0,1,1.0,0 days 00:45:34.128834355,2022-05-01 11:26:12,2022-05-01 23:05:27,0 days 11:39:15,342.0
13874,False,1.0,0.0111719763586564,w_2710565,171,166.0,1,1.0,0 days 00:18:00.692771084,2022-04-30 21:12:43,2022-05-01 08:08:10,0 days 10:55:27,337.0
13868,False,1.0,0.0075713873665993,w_2526345,171,162.0,1,1.0,0 days 00:18:17.060150375,2022-05-23 16:18:07,2022-05-24 08:09:50,0 days 15:51:43,333.0
13828,False,1.0,0.0074486549030951,w_2526353,162,171.0,1,1.0,0 days 00:01:24.703703703,2022-05-23 16:18:07,2022-05-24 08:09:50,0 days 15:51:43,333.0
13766,False,1.0,0.0,w_2696143,168,165.0,1,1.0,0 days 00:07:21.460606060,2022-05-02 18:51:52,2022-05-03 08:07:28,0 days 13:15:36,333.0
13367,False,1.0,0.0076307324006882,w_2435019,172,165.0,1,1.0,0 days 00:23:47.333333333,2022-06-08 07:19:45,2022-06-08 16:04:55,0 days 08:45:10,337.0
13234,False,1.0,0.0001511258878645,w_2714737,159,159.0,1,1.0,0 days 00:16:17.125000,2022-04-29 21:48:34,2022-04-30 15:23:21,0 days 17:34:47,318.0
13158,False,0.9973400212798298,0.0028879768961848,w_981408,529,679.0,354,506.0,0 days 01:21:48,2022-01-25 10:58:57,2023-04-09 17:55:35,439 days 06:56:38,2.7454545454545456
12957,False,1.0,0.0109593270047078,w_2710566,159,160.0,1,1.0,0 days 00:02:31.263157894,2022-04-30 21:38:49,2022-05-01 08:07:54,0 days 10:29:05,319.0
12472,False,1.0,0.000481077613855,w_2710561,160,159.0,1,1.0,0 days 00:08:40.858208955,2022-04-30 21:38:49,2022-05-01 08:07:54,0 days 10:29:05,319.0
12131,False,1.0,0.0001648668700024,w_2693443,153,157.0,1,1.0,0 days 00:01:00,2022-05-02 18:58:24,2022-05-03 16:10:09,0 days 21:11:45,310.0
12042,False,1.0,0.005646902507889,w_2714474,159,159.0,1,1.0,0 days 00:39:56.151898734,2022-04-29 21:48:34,2022-04-30 15:23:21,0 days 17:34:47,318.0
11887,False,1.0,0.0102633128627912,w_2693449,157,153.0,1,1.0,0 days 00:20:18.443661971,2022-05-02 18:58:24,2022-05-03 16:10:09,0 days 21:11:45,310.0
11855,False,1.0,0.008097849008857,w_2467611,150,158.0,1,1.0,0 days 00:01:46.545454545,2022-05-30 17:22:17,2022-05-31 00:04:13,0 days 06:41:56,308.0
11832,False,1.0,0.0078600405679513,w_2467614,158,150.0,1,1.0,0 days 00:11:29.594202898,2022-05-30 17:22:17,2022-05-31 00:04:13,0 days 06:41:56,308.0
11721,False,1.0,0.0087876461052811,w_2467613,164,147.0,1,1.0,0 days 00:27:32.659863945,2022-05-30 17:20:57,2022-05-31 00:04:05,0 days 06:43:08,311.0
11479,False,1.0,0.0065336701803292,w_2678058,152,150.0,1,1.0,0 days 00:19:25.706521739,2022-05-04 20:51:46,2022-05-05 15:48:11,0 days 18:56:25,302.0
11456,False,1.0,0.0011347765363128,w_75350,362,5690.0,22,110.0,0 days 03:48:39.762931034,2022-04-01 23:21:16,2023-12-11 12:59:47,618 days 13:38:31,9.777059773828755
